size,naive,better,blas
116,5471152,5403995,830443
116,5471838,5326632,830879
116,5530070,5289930,832891
116,5506279,5335800,830524
116,5525644,5318777,828280
116,5461053,5313399,831319
117,5602681,5448423,903590
117,5623460,5434505,852574
117,5647903,5410198,852070
117,5594978,5676673,856469
117,5602835,5448245,853512
117,5600948,5396520,852247
117,5641448,5449529,852374
117,7363515,6682782,925714
117,5891554,5434379,855689
117,5598171,5496472,853808
118,5752561,5536115,916927
118,5760040,5542718,872431
118,5825374,5564024,870036
118,5746755,5597286,867637
118,5745912,5630010,867680
118,5793003,5570071,917220
118,5756520,5543834,869991
118,5786568,5564499,917564
118,5748263,5601713,869867
118,5766075,5615145,868179
119,6137397,5727720,890578
119,6093201,5679661,889466
119,6082581,5785491,893088
119,6240716,5683505,890870
119,6107122,5737262,892837
119,6045183,5727922,891590
119,6132195,5723333,941474
119,6060438,5757786,891831
119,6099449,5765972,891360
119,6123248,5657324,890113
120,6248040,5887876,915219
120,6220317,5905049,915733
120,6232926,5854219,965882
120,6232207,5893868,916587
120,6247881,5836125,916924
120,6262412,5813626,915699
120,6263727,5908438,917146
120,6261536,11116303,1599494
120,10071271,6612654,962244
120,6788403,6193680,1000923
121,6800221,6566096,958501
121,6727650,6185392,957273
121,6573032,6220641,937077
121,6385395,6117701,933808
121,6398350,6014817,935551
121,6418049,5998369,934545
121,6452401,5954695,933366
121,6425510,5972980,937093
121,6417491,5962222,935772
121,6420005,6010937,935424
122,6524092,6153425,956526
122,6520291,6156993,956824
122,6550172,7133590,955734
122,6519918,6211671,955659
122,6533514,6204337,958221
122,6590270,6150417,977016
122,6530610,6315717,957225
122,6653976,6145430,957053
122,6800125,6152592,956799
122,6610160,6112249,956078
123,7394497,6269927,981701
123,7361222,6335112,979426
123,7368344,6320867,977694
123,7371141,6372091,977428
123,7377688,6268800,977211
123,7373647,6370598,1027370
123,7366822,6379389,976807
123,7372430,6369828,981686
123,7394253,6346762,981320
123,7387580,6320754,980566
124,7566053,6516060,1008628
124,7601631,6479133,1006050
124,7594071,6488246,1061699
124,7610067,6458228,1056918
124,7602671,6906419,1059250
124,7609652,6464887,1005967
124,7611328,6473294,1056393
124,8739930,7382348,1007268
124,7603465,6589430,1006120
124,7711513,6591537,1006349
125,7812973,6779603,1041516
125,7923693,6724359,1075381
125,7818259,6698973,1027418
125,7771999,6852586,1025128
125,7772657,6689909,1255191
125,7824251,6712047,1023602
125,7878008,6720923,1025770
125,7848522,6636884,1023927
125,7775625,6632692,1026325
125,7838871,6643666,1027508
126,8148646,6838265,1051619
126,7924294,6879146,1051194
126,7925010,6858933,1047891
126,7944363,6819758,1047748
126,7944179,6816982,1048564
126,7944785,6853716,1047847
126,7930561,6906979,1048131
126,7983656,6751508,1048243
126,8070131,6822544,1047853
126,7990604,6795811,1047725
127,7297474,6914768,1074068
127,7231765,6923769,1087375
127,12291800,9346220,1313988
127,12040518,7794308,1130563
127,7804218,7426749,1129604
127,7771321,7446998,1075768
127,7423646,6997005,1072253
127,7188705,6977612,1072418
127,7211162,6986433,1074785
127,7177446,7038229,1076528
128,7326383,7146864,1113429
128,7354627,7169726,1143510
128,7339781,7136982,1142311
128,7333008,7121103,1140943
128,7427710,7098409,1142035
128,7454599,7097829,1143566
128,7384032,7081384,1189588
128,7382751,7093817,1144237
128,7393870,7081437,1143308
128,7429695,7158236,1143676
129,7774854,7272721,1122649
129,7597906,7237983,1121197
129,7601055,7257905,1121356
129,7647656,7272356,1121517
129,7613511,7242475,1119748
129,8530700,7264849,1172107
129,7524587,7248302,1173782
129,7536891,7276258,1142166
129,7510892,7288273,1123802
129,7504715,7294858,1125036
130,7751379,7463127,1149690
130,7757247,7457304,1149507
130,7700575,7464598,1147320
130,7779513,7493171,1146726
130,7714969,7566254,1150134
130,7828130,7470742,1146780
130,7850189,7383746,1148149
130,8738119,7434084,1151246
130,7740156,7454370,1147666
130,7803296,7401094,1148429
131,7935125,7648581,1253701
131,8109582,7665376,1222492
131,7881720,7662322,1172807
131,7928976,7637167,1171103
131,8029007,7638914,1171167
131,7977031,7695134,1172016
131,7968815,7744884,1185760
131,8078642,7668028,1169818
131,7926949,7649005,1171253
131,8396885,7731546,1223008
132,8132108,7802794,1207282
132,8102142,7848827,1258370
132,8206535,7873363,1208144
132,8136066,7817612,1206044
132,8065788,7899199,1207668
132,8163643,7912220,1205142
132,8174772,7763890,1204009
132,8156709,7876923,1207234
132,8153687,7790297,1205363
132,8186674,7855539,1206418
133,12057508,10953373,1412414
133,13432263,8571195,1289095
133,8938021,8596680,1305130
133,8881181,8130810,1227816
133,8500287,8404911,1626212
133,10139166,9186843,1337617
133,8745970,9199915,1257606
133,8651221,8209588,1227659
133,8454466,7985584,1223980
133,8364276,7968037,1225424
134,8480246,8207379,1251013
134,8556755,8156412,1253470
134,8633032,11048389,1604504
134,9353608,8297706,1249757
134,9719254,8904104,1386164
134,8694381,8338143,1250364
134,8589313,8150187,1250729
134,8598280,8252031,1248702
134,8840681,8538297,1249449
134,8710683,8118071,1249385
135,8890811,8388942,1282295
135,8877093,8385341,1281466
135,8783223,8327881,1279486
135,8768933,8373043,1279174
135,8805614,8293852,1280787
135,8799620,8351226,1280191
135,8891299,8339127,1278650
135,8898711,8330962,1280390
135,9126921,8346512,1287598
135,8852698,8376452,1282627
136,10933503,9187381,1306724
136,8864384,8527326,1307425
136,8926610,8502571,1306425
136,8995664,8641238,1350186
136,9074784,8499667,1310691
136,8985598,8613400,1309900
136,8943730,8522345,1308684
136,9022409,8515879,1307802
136,9040697,8471706,1410393
136,9017960,8603925,1308125
137,9167439,8719095,1333676
137,9454161,8710643,1333219
137,9235594,8713463,1391560
137,9160107,8829126,1387390
137,9137150,8709614,1334096
137,9239400,8697199,1335668
137,9176193,8680969,1386912
137,9136577,8709534,1334550
137,9276081,8717584,1367654
137,9271223,8657481,1332760
138,9395090,8957810,2934444
138,15929348,12594874,1470965
138,10167385,9526924,1481206
138,10131760,9007721,1404349
138,10058782,8911054,1361230
138,9436543,8954965,1414555
138,9431429,8968456,1364993
138,9527288,8876251,1409302
138,9478913,8883044,1362338
138,9405221,8972699,1361996
139,9720749,9045205,1395705
139,9744604,9198960,1395532
139,9961489,9198459,1395207
139,9703841,9152048,1825785
139,10183523,9505020,1867837
139,9595879,9229581,1393133
139,9683831,9121708,1388893
139,9836725,9235843,1394687
